"","d","sent_n"
"1",1,20
"2",1,20
"3",3,20
"4",3,20
"5",7,20
"6",1,20
"7",3,20
"8",1,20
"9",10,20
"10",7,20
"11",3,20
"12",1,20
"13",1,20
"14",3,20
"15",1,20
"16",1,20
"17",4,20
"18",9,20
"19",8,20
"20",1,20
"21",1,20
"22",1,20
"23",6,20
"24",2,20
"25",1,20
"26",2,20
"27",3,20
"28",2,20
"29",1,20
"30",13,20
"31",2,20
"32",2,20
"33",3,20
"34",1,20
"35",1,20
"36",2,20
"37",1,20
"38",7,20
"39",2,20
"40",1,20
"41",1,20
"42",3,20
"43",2,20
"44",4,20
"45",5,20
"46",1,20
"47",8,20
"48",1,20
"49",5,20
"50",3,20
"51",1,20
"52",1,20
"53",1,20
"54",12,20
"55",1,20
"56",1,20
"57",5,20
"58",1,20
"59",2,20
"60",6,20
"61",1,20
"62",1,20
"63",3,20
"64",10,20
"65",6,20
"66",1,20
"67",4,20
"68",2,20
"69",2,20
"70",2,20
"71",1,20
"72",3,20
"73",1,20
"74",7,20
"75",8,20
"76",1,20
"77",8,20
"78",19,20
"79",1,20
"80",1,20
"81",5,20
"82",2,20
"83",5,20
"84",3,20
"85",2,20
"86",1,20
"87",4,20
"88",1,20
"89",1,20
"90",1,20
"91",6,20
"92",2,20
"93",9,20
"94",3,20
"95",1,20
"96",5,20
"97",7,20
"98",1,20
"99",1,20
"100",1,20
"101",1,20
"102",1,20
"103",1,20
"104",1,20
"105",4,20
"106",2,20
"107",1,20
"108",2,20
"109",1,20
"110",3,20
"111",1,20
"112",11,20
"113",6,20
"114",1,20
"115",3,20
"116",6,20
"117",10,20
"118",2,20
"119",1,20
"120",1,20
"121",3,20
"122",1,20
"123",1,20
"124",4,20
"125",1,20
"126",3,20
"127",1,20
"128",3,20
"129",5,20
"130",15,20
"131",2,20
"132",14,20
"133",1,20
"134",3,20
"135",2,20
"136",1,20
"137",1,20
"138",1,20
"139",2,20
"140",2,20
"141",1,20
"142",1,20
"143",1,20
"144",2,20
"145",1,20
"146",2,20
"147",1,20
"148",3,20
"149",4,20
"150",1,20
"151",1,20
"152",1,20
"153",1,20
"154",2,20
"155",3,20
"156",2,20
"157",4,20
"158",3,20
"159",1,20
"160",1,20
"161",1,20
"162",1,20
"163",3,20
"164",1,20
"165",1,20
"166",1,20
"167",4,20
"168",10,20
"169",1,20
"170",3,20
"171",4,20
"172",6,20
"173",2,20
"174",3,20
"175",1,20
"176",10,20
"177",4,20
"178",3,20
"179",1,20
"180",2,20
"181",2,20
"182",2,20
"183",3,20
"184",1,20
"185",4,20
"186",6,20
"187",8,20
"188",2,20
"189",1,20
"190",1,20
"191",1,20
"192",1,20
"193",1,20
"194",1,20
"195",9,20
"196",1,20
"197",1,20
"198",3,20
"199",1,20
"200",1,20
"201",2,20
"202",1,20
"203",1,20
"204",9,20
"205",1,20
"206",16,20
"207",2,20
"208",2,20
"209",4,20
"210",3,20
"211",1,20
"212",1,20
"213",10,20
"214",1,20
"215",2,20
"216",1,20
"217",7,20
"218",11,20
"219",3,20
"220",1,20
"221",4,20
"222",2,20
"223",17,20
"224",1,20
