"","d","sent_n"
"1",10,20
"2",1,20
"3",3,20
"4",12,20
"5",19,20
"6",1,20
"7",1,20
"8",8,20
"9",2,20
"10",2,20
"11",2,20
"12",1,20
"13",1,20
"14",1,20
"15",6,20
"16",6,20
"17",1,20
"18",2,20
"19",1,20
"20",16,20
"21",2,20
"22",1,20
"23",1,20
"24",3,20
"25",7,20
"26",1,20
"27",1,20
"28",1,20
"29",1,20
"30",16,20
"31",1,20
"32",3,20
"33",2,20
"34",1,20
"35",1,20
"36",1,20
"37",5,20
"38",1,20
"39",1,20
"40",5,20
"41",13,20
"42",1,20
"43",1,20
"44",3,20
"45",2,20
"46",5,20
"47",18,20
"48",10,20
"49",7,20
"50",2,20
"51",2,20
"52",1,20
"53",2,20
"54",18,20
"55",1,20
"56",1,20
"57",1,20
"58",10,20
"59",1,20
"60",1,20
"61",1,20
"62",1,20
"63",4,20
"64",13,20
"65",11,20
"66",1,20
"67",5,20
"68",1,20
"69",1,20
"70",2,20
"71",1,20
"72",3,20
"73",1,20
"74",1,20
"75",3,20
"76",7,20
"77",10,20
"78",9,20
"79",3,20
"80",3,20
"81",2,20
"82",1,20
"83",3,20
"84",6,20
"85",5,20
"86",2,20
"87",1,20
"88",1,20
"89",3,20
"90",1,20
"91",3,20
"92",1,20
"93",2,20
"94",1,20
"95",8,20
"96",7,20
"97",2,20
"98",13,20
"99",15,20
"100",1,20
"101",3,20
"102",11,20
"103",3,20
"104",8,20
"105",3,20
"106",6,20
"107",18,20
"108",11,20
"109",1,20
"110",3,20
"111",3,20
"112",1,20
"113",1,20
"114",13,20
"115",10,20
"116",3,20
"117",18,20
"118",7,20
"119",2,20
"120",1,20
"121",3,20
"122",1,20
"123",1,20
"124",13,20
"125",1,20
"126",10,20
"127",2,20
"128",15,20
"129",2,20
"130",2,20
"131",1,20
"132",1,20
"133",18,20
"134",1,20
"135",1,20
"136",1,20
"137",7,20
"138",4,20
"139",1,20
"140",10,20
"141",1,20
"142",1,20
"143",1,20
"144",1,20
"145",2,20
"146",5,20
"147",7,20
"148",2,20
"149",14,20
"150",2,20
"151",10,20
"152",4,20
"153",1,20
"154",1,20
"155",1,20
"156",4,20
"157",1,20
"158",1,20
"159",7,20
"160",10,20
"161",13,20
"162",1,20
"163",1,20
"164",9,20
"165",1,20
"166",1,20
"167",1,20
"168",1,20
"169",10,20
"170",3,20
"171",1,20
"172",1,20
"173",1,20
"174",9,20
"175",1,20
"176",1,20
"177",3,20
"178",1,20
"179",1,20
"180",1,20
"181",1,20
"182",1,20
"183",12,20
"184",2,20
"185",7,20
"186",3,20
"187",2,20
"188",1,20
"189",1,20
"190",1,20
"191",1,20
"192",12,20
"193",1,20
"194",1,20
"195",1,20
"196",8,20
"197",1,20
"198",1,20
"199",9,20
"200",4,20
"201",2,20
"202",1,20
"203",4,20
"204",1,20
"205",1,20
"206",4,20
"207",1,20
"208",6,20
"209",2,20
"210",1,20
"211",3,20
"212",5,20
"213",1,20
"214",1,20
"215",15,20
"216",6,20
"217",2,20
"218",1,20
"219",17,20
"220",1,20
"221",1,20
"222",2,20
"223",1,20
"224",2,20
"225",1,20
"226",1,20
"227",3,20
"228",11,20
"229",2,20
"230",9,20
"231",8,20
"232",2,20
"233",1,20
"234",1,20
"235",1,20
"236",5,20
"237",1,20
"238",1,20
"239",2,20
"240",5,20
"241",9,20
"242",3,20
"243",6,20
"244",1,20
"245",2,20
"246",4,20
"247",2,20
"248",2,20
"249",1,20
"250",2,20
"251",2,20
"252",3,20
"253",4,20
"254",1,20
"255",8,20
"256",2,20
"257",2,20
"258",1,20
"259",3,20
"260",10,20
"261",18,20
"262",17,20
"263",1,20
"264",7,20
"265",4,20
"266",15,20
"267",6,20
"268",15,20
"269",1,20
"270",2,20
"271",4,20
"272",3,20
"273",1,20
"274",2,20
"275",2,20
"276",3,20
"277",10,20
"278",1,20
"279",1,20
"280",1,20
"281",1,20
"282",1,20
"283",2,20
"284",11,20
"285",1,20
"286",1,20
"287",6,20
"288",2,20
"289",1,20
"290",1,20
"291",14,20
"292",8,20
"293",8,20
"294",1,20
"295",19,20
"296",2,20
"297",2,20
"298",14,20
"299",1,20
"300",4,20
"301",3,20
"302",8,20
"303",7,20
"304",1,20
"305",14,20
"306",5,20
"307",7,20
"308",3,20
"309",2,20
"310",1,20
"311",2,20
"312",3,20
"313",17,20
"314",3,20
"315",4,20
"316",16,20
"317",3,20
"318",2,20
"319",1,20
"320",4,20
"321",12,20
"322",1,20
"323",2,20
"324",2,20
"325",5,20
"326",1,20
"327",1,20
"328",2,20
"329",1,20
"330",2,20
"331",1,20
"332",9,20
"333",1,20
"334",1,20
"335",3,20
"336",16,20
"337",11,20
"338",3,20
"339",2,20
"340",1,20
"341",1,20
"342",2,20
"343",1,20
"344",2,20
"345",1,20
"346",1,20
"347",1,20
"348",1,20
"349",2,20
"350",3,20
"351",1,20
"352",2,20
"353",2,20
"354",8,20
"355",1,20
"356",1,20
"357",1,20
"358",1,20
"359",3,20
