"","d"
"1",1
"2",7
"3",3
"4",1
"5",1
"6",6
"7",5
"8",1
"9",4
"10",4
"11",4
"12",9
"13",6
"14",21
"15",2
"16",2
"17",14
"18",4
"19",10
"20",1
"21",4
"22",18
"23",13
"24",3
"25",2
"26",12
"27",7
"28",10
"29",7
"30",1
"31",6
"32",3
"33",4
"34",7
"35",15
"36",6
"37",2
"38",9
"39",6
"40",2
"41",1
"42",10
"43",14
"44",3
"45",4
"46",2
"47",1
"48",1
"49",2
"50",5
"51",4
"52",8
"53",4
"54",1
"55",7
"56",6
"57",9
"58",1
"59",9
"60",11
"61",6
"62",9
"63",2
"64",1
"65",1
"66",8
"67",2
"68",7
"69",18
"70",5
"71",15
"72",3
"73",5
"74",21
"75",3
"76",2
"77",1
"78",1
"79",3
"80",3
"81",4
"82",7
"83",3
"84",2
"85",2
"86",4
"87",7
"88",5
"89",3
"90",7
"91",3
"92",12
"93",4
"94",10
"95",2
"96",2
"97",3
"98",1
"99",1
"100",6
"101",3
"102",1
"103",3
"104",1
"105",3
"106",2
"107",1
"108",1
"109",6
"110",3
"111",3
"112",10
"113",17
"114",1
"115",1
"116",3
"117",1
"118",2
"119",3
"120",13
"121",3
"122",18
"123",10
"124",1
"125",10
"126",1
"127",4
"128",1
"129",4
"130",5
"131",5
"132",5
"133",1
"134",6
"135",6
"136",15
"137",2
"138",2
"139",6
"140",1
"141",5
"142",6
"143",13
"144",22
"145",4
"146",2
"147",2
"148",4
"149",1
"150",4
"151",1
"152",2
"153",7
"154",5
"155",6
"156",2
"157",9
"158",8
"159",2
"160",1
"161",1
"162",16
"163",6
"164",1
"165",5
"166",7
"167",10
"168",17
"169",1
"170",3
"171",15
"172",9
"173",13
"174",1
"175",9
"176",12
"177",3
"178",10
"179",14
"180",5
"181",6
"182",5
"183",1
"184",4
"185",2
"186",3
"187",4
"188",13
"189",7
"190",6
"191",8
"192",1
"193",5
"194",11
"195",6
"196",1
"197",9
"198",11
"199",1
"200",2
"201",4
"202",7
"203",2
"204",9
"205",9
"206",2
"207",14
"208",2
"209",3
"210",7
"211",3
"212",2
"213",14
"214",10
"215",1
"216",2
"217",4
"218",6
"219",1
"220",11
"221",6
"222",4
"223",11
"224",3
"225",6
"226",6
"227",3
"228",1
"229",5
"230",1
"231",2
"232",5
"233",6
"234",13
"235",28
"236",2
"237",9
"238",7
"239",4
"240",2
"241",1
"242",3
"243",2
"244",6
"245",5
"246",2
"247",3
"248",5
"249",5
"250",4
"251",4
"252",3
"253",3
"254",6
"255",2
"256",5
"257",4
"258",12
"259",3
"260",1
"261",1
"262",1
"263",6
"264",2
"265",2
"266",1
"267",2
"268",1
"269",6
"270",4
"271",2
"272",3
"273",7
"274",5
"275",4
"276",3
"277",1
"278",8
"279",16
"280",11
"281",5
"282",23
"283",4
"284",1
"285",6
"286",8
"287",2
"288",4
"289",14
"290",13
"291",1
"292",2
"293",2
"294",5
"295",1
"296",4
"297",4
"298",1
"299",5
"300",2
"301",3
"302",1
"303",2
"304",8
"305",1
"306",2
"307",2
"308",3
"309",4
"310",6
"311",3
"312",3
"313",1
"314",3
"315",2
"316",1
"317",3
"318",5
"319",10
"320",3
"321",1
"322",13
"323",4
"324",4
"325",2
"326",13
"327",16
"328",4
"329",7
"330",4
"331",5
"332",1
"333",6
"334",11
"335",3
"336",1
"337",1
"338",3
"339",4
"340",7
"341",9
"342",4
"343",6
"344",4
"345",15
"346",6
"347",7
"348",8
"349",3
"350",3
"351",12
"352",5
"353",3
"354",1
"355",9
"356",8
"357",14
"358",15
"359",3
"360",1
"361",16
"362",6
"363",1
"364",9
"365",1
"366",1
"367",4
"368",4
"369",26
"370",2
"371",5
"372",2
"373",9
"374",1
"375",1
"376",1
"377",9
"378",1
"379",1
"380",7
"381",5
"382",4
"383",1
"384",4
"385",4
"386",3
"387",2
"388",7
"389",4
"390",9
"391",13
"392",1
"393",5
"394",5
"395",8
"396",8
"397",9
"398",2
"399",3
"400",17
"401",8
"402",6
"403",2
"404",2
"405",9
"406",4
"407",13
"408",6
"409",4
"410",9
"411",3
"412",20
"413",2
"414",1
"415",16
"416",1
"417",1
"418",3
"419",12
"420",5
"421",10
"422",11
"423",5
"424",1
"425",2
"426",1
"427",3
"428",6
"429",3
"430",2
"431",1
"432",1
"433",1
"434",2
"435",7
"436",1
"437",2
"438",7
"439",4
"440",1
"441",17
"442",10
"443",3
"444",6
"445",1
"446",1
"447",3
"448",2
"449",1
"450",7
"451",4
"452",4
"453",5
"454",5
"455",1
"456",2
"457",5
"458",1
"459",1
"460",3
"461",1
"462",3
"463",18
"464",4
"465",2
"466",1
"467",3
"468",2
"469",4
"470",5
"471",3
"472",4
"473",4
"474",2
"475",4
"476",2
"477",5
"478",1
"479",2
"480",11
"481",2
"482",9
"483",1
"484",2
"485",2
"486",6
"487",6
"488",2
"489",4
"490",13
"491",1
"492",2
"493",5
"494",1
"495",2
"496",2
"497",2
"498",1
"499",5
"500",4
"501",7
"502",12
"503",2
"504",4
"505",4
"506",2
"507",4
"508",3
"509",4
"510",7
"511",5
"512",7
"513",4
"514",1
"515",2
"516",4
"517",5
"518",1
"519",13
"520",4
"521",4
"522",12
"523",4
"524",1
"525",1
"526",2
"527",7
"528",6
"529",5
"530",14
"531",4
"532",2
"533",2
"534",8
"535",5
"536",1
"537",10
"538",2
"539",13
"540",7
"541",3
"542",5
"543",3
"544",14
"545",3
"546",3
"547",6
"548",2
"549",4
"550",4
"551",1
"552",1
"553",7
"554",1
"555",16
"556",8
"557",9
"558",5
"559",6
"560",2
"561",3
"562",1
"563",5
"564",3
"565",6
"566",7
"567",11
"568",5
"569",6
"570",17
"571",3
"572",8
"573",2
"574",2
"575",2
"576",6
"577",1
"578",2
"579",10
"580",3
"581",1
"582",4
"583",1
"584",2
"585",2
"586",3
"587",7
"588",7
"589",2
"590",1
"591",2
"592",1
"593",2
"594",12
"595",4
"596",7
"597",2
"598",1
"599",2
"600",1
"601",2
"602",2
"603",3
"604",4
"605",4
"606",1
"607",1
"608",4
"609",2
"610",7
"611",19
"612",1
"613",7
"614",3
"615",1
"616",3
"617",8
"618",4
"619",2
"620",2
"621",2
"622",11
"623",9
"624",4
"625",5
"626",20
"627",4
"628",3
"629",2
"630",1
"631",5
"632",1
"633",12
"634",1
"635",1
"636",3
"637",7
"638",2
"639",7
"640",3
"641",2
"642",7
"643",3
"644",2
"645",2
"646",4
"647",6
"648",6
"649",10
"650",2
"651",7
"652",4
"653",4
"654",4
"655",12
"656",12
"657",2
"658",1
"659",5
"660",4
"661",3
"662",9
"663",13
"664",12
"665",3
"666",1
"667",8
"668",5
"669",1
"670",1
"671",2
"672",2
"673",6
"674",4
"675",1
"676",10
"677",7
"678",7
"679",3
"680",1
"681",17
"682",3
"683",2
"684",2
"685",11
"686",16
"687",4
"688",5
"689",9
"690",1
"691",2
