"","d","sent_n"
"1",13,20
"2",3,20
"3",8,20
"4",14,20
"5",19,20
"6",4,20
"7",4,20
"8",12,20
"9",6,20
"10",6,20
"11",6,20
"12",2,20
"13",4,20
"14",1,20
"15",10,20
"16",10,20
"17",1,20
"18",5,20
"19",2,20
"20",16,20
"21",6,20
"22",1,20
"23",1,20
"24",7,20
"25",11,20
"26",1,20
"27",3,20
"28",2,20
"29",3,20
"30",16,20
"31",4,20
"32",7,20
"33",6,20
"34",3,20
"35",1,20
"36",4,20
"37",9,20
"38",2,20
"39",3,20
"40",9,20
"41",14,20
"42",2,20
"43",1,20
"44",7,20
"45",6,20
"46",9,20
"47",17,20
"48",13,20
"49",11,20
"50",4,20
"51",5,20
"52",2,20
"53",6,20
"54",18,20
"55",3,20
"56",4,20
"57",2,20
"58",13,20
"59",2,20
"60",1,20
"61",3,20
"62",2,20
"63",9,20
"64",15,20
"65",13,20
"66",2,20
"67",9,20
"68",3,20
"69",1,20
"70",5,20
"71",1,20
"72",7,20
"73",4,20
"74",1,20
"75",7,20
"76",10,20
"77",13,20
"78",12,20
"79",8,20
"80",7,20
"81",6,20
"82",3,20
"83",7,20
"84",10,20
"85",9,20
"86",6,20
"87",3,20
"88",4,20
"89",7,20
"90",3,20
"91",8,20
"92",1,20
"93",6,20
"94",2,20
"95",11,20
"96",11,20
"97",7,20
"98",14,20
"99",16,20
"100",3,20
"101",7,20
"102",13,20
"103",8,20
"104",11,20
"105",7,20
"106",10,20
"107",18,20
"108",13,20
"109",4,20
"110",7,20
"111",7,20
"112",2,20
"113",1,20
"114",14,20
"115",13,20
"116",7,20
"117",17,20
"118",10,20
"119",6,20
"120",1,20
"121",7,20
"122",1,20
"123",2,20
"124",14,20
"125",2,20
"126",13,20
"127",5,20
"128",15,20
"129",5,20
"130",5,20
"131",4,20
"132",4,20
"133",17,20
"134",3,20
"135",3,20
"136",1,20
"137",10,20
"138",8,20
"139",4,20
"140",13,20
"141",4,20
"142",3,20
"143",1,20
"144",1,20
"145",6,20
"146",9,20
"147",11,20
"148",6,20
"149",15,20
"150",6,20
"151",12,20
"152",9,20
"153",3,20
"154",4,20
"155",4,20
"156",8,20
"157",2,20
"158",2,20
"159",11,20
"160",13,20
"161",14,20
"162",1,20
"163",3,20
"164",12,20
"165",4,20
"166",3,20
"167",2,20
"168",1,20
"169",13,20
"170",8,20
"171",1,20
"172",2,20
"173",1,20
"174",12,20
"175",2,20
"176",1,20
"177",8,20
"178",2,20
"179",1,20
"180",4,20
"181",4,20
"182",4,20
"183",14,20
"184",5,20
"185",11,20
"186",7,20
"187",6,20
"188",1,20
"189",3,20
"190",3,20
"191",2,20
"192",14,20
"193",4,20
"194",2,20
"195",3,20
"196",12,20
"197",2,20
"198",1,20
"199",12,20
"200",9,20
"201",5,20
"202",3,20
"203",8,20
"204",2,20
"205",2,20
"206",9,20
"207",1,20
"208",10,20
"209",7,20
"210",3,20
"211",8,20
"212",9,20
"213",1,20
"214",2,20
"215",16,20
"216",10,20
"217",6,20
"218",4,20
"219",17,20
"220",1,20
"221",4,20
"222",5,20
"223",1,20
"224",7,20
"225",4,20
"226",3,20
"227",7,20
"228",13,20
"229",4,20
"230",12,20
"231",11,20
"232",4,20
"233",3,20
"234",1,20
"235",1,20
"236",9,20
"237",2,20
"238",3,20
"239",5,20
"240",9,20
"241",12,20
"242",7,20
"243",10,20
"244",4,20
"245",5,20
"246",8,20
"247",7,20
"248",5,20
"249",4,20
"250",5,20
"251",6,20
"252",7,20
"253",8,20
"254",4,20
"255",11,20
"256",4,20
"257",5,20
"258",1,20
"259",8,20
"260",13,20
"261",18,20
"262",17,20
"263",4,20
"264",11,20
"265",9,20
"266",15,20
"267",10,20
"268",16,20
"269",4,20
"270",6,20
"271",8,20
"272",7,20
"273",3,20
"274",5,20
"275",6,20
"276",8,20
"277",13,20
"278",2,20
"279",1,20
"280",2,20
"281",4,20
"282",1,20
"283",5,20
"284",13,20
"285",4,20
"286",2,20
"287",10,20
"288",6,20
"289",1,20
"290",1,20
"291",15,20
"292",11,20
"293",11,20
"294",4,20
"295",19,20
"296",5,20
"297",6,20
"298",15,20
"299",4,20
"300",9,20
"301",8,20
"302",11,20
"303",11,20
"304",3,20
"305",15,20
"306",9,20
"307",10,20
"308",7,20
"309",5,20
"310",4,20
"311",7,20
"312",7,20
"313",17,20
"314",7,20
"315",8,20
"316",16,20
"317",7,20
"318",5,20
"319",2,20
"320",8,20
"321",14,20
"322",1,20
"323",6,20
"324",6,20
"325",9,20
"326",1,20
"327",1,20
"328",5,20
"329",3,20
"330",6,20
"331",4,20
"332",12,20
"333",4,20
"334",1,20
"335",8,20
"336",16,20
"337",13,20
"338",8,20
"339",6,20
"340",3,20
"341",2,20
"342",6,20
"343",4,20
"344",5,20
"345",1,20
"346",3,20
"347",3,20
"348",3,20
"349",7,20
"350",8,20
"351",1,20
"352",5,20
"353",6,20
"354",11,20
"355",2,20
"356",2,20
"357",1,20
"358",1,20
"359",7,20
"360",19,20
"361",1,20
"362",3,20
"363",19,20
"364",2,20
"365",17,20
"366",14,20
"367",6,20
"368",6,20
"369",1,20
"370",11,20
"371",5,20
"372",10,20
"373",2,20
"374",13,20
"375",17,20
"376",17,20
"377",2,20
"378",13,20
"379",14,20
"380",3,20
"381",5,20
"382",6,20
"383",13,20
"384",5,20
"385",6,20
"386",7,20
"387",10,20
"388",3,20
"389",6,20
"390",2,20
"391",1,20
"392",13,20
"393",4,20
"394",5,20
"395",3,20
"396",2,20
"397",2,20
"398",9,20
"399",7,20
"400",1,20
"401",3,20
"402",4,20
"403",11,20
"404",10,20
"405",2,20
"406",5,20
"407",1,20
"408",4,20
"409",6,20
"410",2,20
"411",7,20
"412",1,20
"413",10,20
"414",15,20
"415",1,20
"416",13,20
"417",16,20
"418",7,20
"419",1,20
"420",4,20
"421",2,20
"422",1,20
"423",4,20
"424",12,20
"425",11,20
"426",16,20
"427",7,20
"428",3,20
"429",7,20
"430",10,20
"431",13,20
"432",13,20
"433",14,20
"434",9,20
"435",3,20
"436",15,20
"437",9,20
"438",3,20
"439",5,20
"440",13,20
"441",1,20
"442",2,20
"443",7,20
"444",4,20
"445",15,20
"446",13,20
"447",8,20
"448",11,20
"449",13,20
"450",3,20
"451",6,20
"452",5,20
"453",5,20
"454",5,20
"455",11,20
"456",10,20
"457",5,20
"458",16,20
"459",14,20
"460",8,20
"461",15,20
"462",8,20
"463",1,20
"464",5,20
"465",11,20
"466",12,20
"467",7,20
"468",11,20
"469",6,20
"470",5,20
"471",8,20
"472",6,20
"473",5,20
"474",9,20
"475",5,20
"476",9,20
"477",4,20
"478",16,20
"479",11,20
"480",1,20
"481",10,20
"482",2,20
"483",18,20
"484",10,20
"485",10,20
"486",3,20
"487",3,20
"488",11,20
"489",5,20
"490",1,20
"491",12,20
"492",11,20
"493",5,20
"494",15,20
"495",11,20
"496",11,20
"497",10,20
"498",15,20
"499",5,20
"500",6,20
"501",3,20
"502",1,20
"503",9,20
"504",6,20
"505",5,20
"506",11,20
"507",6,20
"508",8,20
"509",5,20
"510",3,20
"511",4,20
"512",3,20
"513",6,20
"514",12,20
"515",8,20
"516",5,20
"517",4,20
"518",17,20
"519",1,20
"520",5,20
"521",6,20
"522",1,20
"523",6,20
"524",12,20
"525",16,20
"526",11,20
"527",3,20
"528",3,20
"529",5,20
"530",1,20
"531",6,20
"532",9,20
"533",11,20
"534",3,20
"535",5,20
