"","d","sent_n"
"1",6,20
"2",1,20
"3",2,20
"4",8,20
"5",18,20
"6",1,20
"7",1,20
"8",5,20
"9",1,20
"10",2,20
"11",1,20
"12",1,20
"13",1,20
"14",1,20
"15",4,20
"16",3,20
"17",1,20
"18",1,20
"19",1,20
"20",11,20
"21",2,20
"22",1,20
"23",1,20
"24",2,20
"25",4,20
"26",1,20
"27",1,20
"28",1,20
"29",1,20
"30",11,20
"31",1,20
"32",2,20
"33",2,20
"34",1,20
"35",1,20
"36",1,20
"37",3,20
"38",1,20
"39",1,20
"40",3,20
"41",8,20
"42",1,20
"43",1,20
"44",2,20
"45",1,20
"46",3,20
"47",14,20
"48",6,20
"49",4,20
"50",1,20
"51",1,20
"52",1,20
"53",1,20
"54",15,20
"55",1,20
"56",1,20
"57",1,20
"58",6,20
"59",1,20
"60",1,20
"61",1,20
"62",1,20
"63",3,20
"64",9,20
"65",6,20
"66",1,20
"67",3,20
"68",1,20
"69",1,20
"70",1,20
"71",1,20
"72",2,20
"73",1,20
"74",1,20
"75",2,20
"76",4,20
"77",6,20
"78",5,20
"79",2,20
"80",2,20
"81",1,20
"82",1,20
"83",2,20
"84",3,20
"85",3,20
"86",1,20
"87",1,20
"88",1,20
"89",2,20
"90",1,20
"91",2,20
"92",1,20
"93",2,20
"94",1,20
"95",5,20
"96",4,20
"97",2,20
"98",8,20
"99",10,20
"100",1,20
"101",2,20
"102",7,20
"103",2,20
"104",5,20
"105",2,20
"106",3,20
"107",16,20
"108",6,20
"109",1,20
"110",2,20
"111",2,20
"112",1,20
"113",1,20
"114",8,20
"115",6,20
"116",2,20
"117",14,20
"118",4,20
"119",2,20
"120",1,20
"121",2,20
"122",1,20
"123",1,20
"124",8,20
"125",1,20
"126",6,20
"127",1,20
"128",10,20
"129",1,20
"130",1,20
"131",1,20
"132",1,20
"133",14,20
"134",1,20
"135",1,20
"136",1,20
"137",4,20
"138",2,20
"139",1,20
"140",6,20
"141",1,20
"142",1,20
"143",1,20
"144",1,20
"145",1,20
"146",3,20
"147",4,20
"148",1,20
"149",9,20
"150",2,20
"151",6,20
"152",3,20
"153",1,20
"154",1,20
"155",1,20
"156",2,20
"157",1,20
"158",1,20
"159",4,20
"160",6,20
"161",8,20
"162",1,20
"163",1,20
"164",6,20
"165",1,20
"166",1,20
"167",1,20
"168",1,20
"169",6,20
"170",2,20
"171",1,20
"172",1,20
"173",1,20
"174",5,20
"175",1,20
"176",1,20
"177",2,20
"178",1,20
"179",1,20
"180",1,20
"181",1,20
"182",1,20
"183",7,20
"184",1,20
"185",4,20
"186",2,20
"187",2,20
"188",1,20
"189",1,20
"190",1,20
"191",1,20
"192",8,20
"193",1,20
"194",1,20
"195",1,20
"196",5,20
"197",1,20
"198",1,20
"199",5,20
"200",3,20
"201",1,20
"202",1,20
"203",2,20
"204",1,20
"205",1,20
"206",3,20
"207",1,20
"208",3,20
"209",2,20
"210",1,20
"211",2,20
"212",3,20
"213",1,20
"214",1,20
"215",10,20
"216",3,20
"217",1,20
"218",1,20
"219",13,20
"220",1,20
"221",1,20
"222",1,20
"223",1,20
"224",2,20
"225",1,20
"226",1,20
"227",2,20
"228",7,20
"229",1,20
"230",6,20
"231",5,20
"232",1,20
"233",1,20
"234",1,20
"235",1,20
"236",3,20
"237",1,20
"238",1,20
"239",1,20
"240",3,20
"241",5,20
"242",2,20
"243",3,20
"244",1,20
"245",1,20
"246",2,20
"247",2,20
"248",1,20
"249",1,20
"250",1,20
"251",1,20
"252",2,20
"253",2,20
"254",1,20
"255",5,20
"256",1,20
"257",1,20
"258",1,20
"259",2,20
"260",6,20
"261",15,20
"262",13,20
"263",1,20
"264",4,20
"265",3,20
"266",10,20
"267",4,20
"268",10,20
"269",1,20
"270",2,20
"271",2,20
"272",2,20
"273",1,20
"274",1,20
"275",1,20
"276",2,20
"277",6,20
"278",1,20
"279",1,20
"280",1,20
"281",1,20
"282",1,20
"283",1,20
"284",7,20
"285",1,20
"286",1,20
"287",4,20
"288",1,20
"289",1,20
"290",1,20
"291",9,20
"292",5,20
"293",4,20
"294",1,20
"295",17,20
"296",1,20
"297",2,20
"298",9,20
"299",1,20
"300",3,20
"301",2,20
"302",5,20
"303",4,20
"304",1,20
"305",9,20
"306",3,20
"307",4,20
"308",2,20
"309",1,20
"310",1,20
"311",2,20
"312",2,20
"313",12,20
"314",2,20
"315",2,20
"316",11,20
"317",2,20
"318",1,20
"319",1,20
"320",2,20
"321",8,20
"322",1,20
"323",2,20
"324",1,20
"325",3,20
"326",1,20
"327",1,20
"328",1,20
"329",1,20
"330",1,20
"331",1,20
"332",5,20
"333",1,20
"334",1,20
"335",2,20
"336",11,20
"337",7,20
"338",2,20
"339",1,20
"340",1,20
"341",1,20
"342",2,20
"343",1,20
"344",1,20
"345",1,20
"346",1,20
"347",1,20
"348",1,20
"349",2,20
"350",2,20
"351",1,20
"352",1,20
"353",2,20
"354",5,20
"355",1,20
"356",1,20
"357",1,20
"358",1,20
"359",2,20
"360",18,20
"361",1,20
"362",1,20
"363",18,20
"364",1,20
"365",14,20
"366",8,20
"367",1,20
"368",2,20
"369",1,20
"370",4,20
"371",1,20
"372",3,20
"373",1,20
"374",7,20
"375",14,20
"376",14,20
"377",1,20
"378",6,20
"379",8,20
"380",1,20
"381",1,20
"382",1,20
"383",7,20
"384",1,20
"385",2,20
"386",2,20
"387",4,20
"388",1,20
"389",1,20
"390",1,20
"391",1,20
"392",7,20
"393",1,20
"394",1,20
"395",1,20
"396",1,20
"397",1,20
"398",3,20
"399",2,20
"400",1,20
"401",1,20
"402",1,20
"403",4,20
"404",3,20
"405",1,20
"406",1,20
"407",1,20
"408",1,20
"409",1,20
"410",1,20
"411",2,20
"412",1,20
"413",4,20
"414",9,20
"415",1,20
"416",7,20
"417",12,20
"418",2,20
"419",1,20
"420",1,20
"421",1,20
"422",1,20
"423",1,20
"424",5,20
"425",4,20
"426",11,20
"427",2,20
"428",1,20
"429",2,20
"430",3,20
"431",7,20
"432",6,20
"433",8,20
"434",3,20
"435",1,20
"436",10,20
"437",3,20
"438",1,20
"439",1,20
"440",6,20
"441",1,20
"442",1,20
"443",2,20
"444",1,20
"445",9,20
"446",6,20
"447",2,20
"448",4,20
"449",7,20
"450",1,20
"451",2,20
"452",1,20
"453",1,20
"454",1,20
"455",5,20
"456",3,20
"457",1,20
"458",11,20
"459",8,20
"460",2,20
"461",10,20
"462",2,20
"463",1,20
"464",1,20
"465",4,20
"466",6,20
"467",2,20
"468",4,20
"469",1,20
"470",1,20
"471",2,20
"472",1,20
"473",1,20
"474",3,20
"475",1,20
"476",3,20
"477",1,20
"478",12,20
"479",4,20
"480",1,20
"481",4,20
"482",1,20
"483",15,20
"484",4,20
"485",4,20
"486",1,20
"487",1,20
"488",4,20
"489",1,20
"490",1,20
"491",6,20
"492",4,20
"493",1,20
"494",10,20
"495",4,20
"496",4,20
"497",3,20
"498",9,20
"499",1,20
"500",1,20
"501",1,20
"502",1,20
"503",3,20
"504",1,20
"505",1,20
"506",5,20
"507",2,20
"508",2,20
"509",1,20
"510",1,20
"511",1,20
"512",1,20
"513",1,20
"514",5,20
"515",2,20
"516",1,20
"517",1,20
"518",13,20
"519",1,20
"520",1,20
"521",1,20
"522",1,20
"523",2,20
"524",5,20
"525",10,20
"526",5,20
"527",1,20
"528",1,20
"529",1,20
"530",1,20
"531",1,20
"532",3,20
"533",4,20
"534",1,20
"535",1,20
"536",12,20
"537",1,20
"538",5,20
"539",1,20
"540",1,20
"541",2,20
"542",1,20
"543",2,20
"544",1,20
"545",2,20
"546",2,20
"547",1,20
"548",3,20
"549",1,20
"550",1,20
"551",10,20
"552",5,20
"553",1,20
"554",9,20
"555",1,20
"556",1,20
"557",1,20
"558",1,20
"559",1,20
"560",4,20
"561",2,20
"562",6,20
"563",1,20
"564",2,20
"565",1,20
"566",1,20
"567",1,20
"568",1,20
"569",1,20
"570",1,20
"571",2,20
"572",1,20
"573",3,20
"574",3,20
"575",4,20
"576",1,20
"577",9,20
