"","d"
"1",14
"2",1
"3",4
"4",17
"5",53
"6",1
"7",2
"8",11
"9",2
"10",2
"11",2
"12",1
"13",1
"14",1
"15",8
"16",8
"17",1
"18",2
"19",1
"20",26
"21",3
"22",1
"23",1
"24",3
"25",9
"26",1
"27",1
"28",1
"29",1
"30",25
"31",1
"32",3
"33",2
"34",1
"35",1
"36",1
"37",6
"38",1
"39",1
"40",6
"41",19
"42",1
"43",1
"44",3
"45",2
"46",7
"47",34
"48",13
"49",9
"50",2
"51",2
"52",1
"53",2
"54",37
"55",1
"56",1
"57",1
"58",14
"59",1
"60",1
"61",1
"62",1
"63",6
"64",19
"65",14
"66",1
"67",7
"68",1
"69",1
"70",2
"71",1
"72",4
"73",1
"74",1
"75",3
"76",9
"77",13
"78",12
"79",4
"80",3
"81",2
"82",1
"83",3
"84",8
"85",7
"86",2
"87",1
"88",2
"89",3
"90",1
"91",4
"92",1
"93",3
"94",1
"95",10
"96",9
"97",3
"98",19
"99",23
"100",1
"101",3
"102",15
"103",4
"104",11
"105",3
"106",7
"107",39
"108",14
"109",1
"110",3
"111",3
"112",1
"113",1
"114",18
"115",14
"116",3
"117",34
"118",9
"119",3
"120",1
"121",3
"122",1
"123",1
"124",18
"125",1
"126",14
"127",2
"128",23
"129",2
"130",2
"131",2
"132",2
"133",34
"134",1
"135",1
"136",1
"137",9
"138",5
"139",1
"140",13
"141",2
"142",1
"143",1
"144",1
"145",2
"146",6
"147",9
"148",2
"149",21
"150",3
"151",13
"152",6
"153",1
"154",2
"155",1
"156",5
"157",1
"158",1
"159",9
"160",14
"161",19
"162",1
"163",1
"164",12
"165",2
"166",1
"167",1
"168",1
"169",14
"170",4
"171",1
"172",1
"173",1
"174",12
"175",1
"176",1
"177",4
"178",1
"179",1
"180",2
"181",1
"182",2
"183",16
"184",2
"185",10
"186",3
"187",3
"188",1
"189",1
"190",1
"191",1
"192",18
"193",1
"194",1
"195",1
"196",11
"197",1
"198",1
"199",12
"200",5
"201",2
"202",1
"203",5
"204",1
"205",1
"206",6
"207",1
"208",8
"209",3
"210",1
"211",4
"212",6
"213",1
"214",1
"215",24
"216",8
"217",2
"218",1
"219",30
"220",1
"221",1
"222",2
"223",1
"224",3
"225",1
"226",1
"227",3
"228",16
